"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-09-24,46277,15627,26632,,22198935,11397827,774923,21245808,10622904,
2021-09-25,48168,15246,29931,,22247103,11412820,760219,21305202,10652601,
2021-09-26,37477,12415,24471,,22284580,11424960,748142,21353636,10676818,
2021-09-27,19145,6527,12312,,22303725,11431233,742341,21377784,10688892,
2021-09-28,30930,11285,17864,,22334655,11442259,735750,21413018,10706509,
2021-09-29,37860,12468,21710,,22372515,11454456,726488,21455936,10727968,
2021-09-30,37314,11646,21360,,22409829,11465843,716755,21498176,10749088,
2021-10-01,30853,9804,18398,,22440682,11475421,708148,21534546,10767273,
2021-10-02,37113,11150,23572,,22477795,11486301,695708,21581186,10790593,
2021-10-03,27198,8161,18321,,22504993,11494221,685535,21617372,10808686,
2021-10-04,14864,4744,9801,,22519857,11498719,680460,21636518,10818259,
2021-10-05,26792,8584,15852,,22546649,11507042,673177,21667730,10833865,
2021-10-06,31640,9632,18494,,22578289,11516415,664307,21704216,10852108,
2021-10-07,30330,9388,17111,,22608619,11525552,656571,21737962,10868981,
2021-10-08,32814,10735,18839,,22641433,11536017,648454,21775126,10887563,
2021-10-09,34114,10653,21001,,22675547,11546407,638092,21816630,10908315,
2021-10-10,23393,7654,15075,,22698940,11553810,630659,21846302,10923151,
2021-10-11,11997,3837,7862,,22710937,11557397,626618,21861558,10930779,
2021-10-12,5093,1622,3257,,22716030,11558741,624968,21867546,10933773,
2021-10-13,29088,9188,18072,,22745118,11567639,616068,21903142,10951571,
2021-10-14,28996,8900,17738,,22774114,11576264,607220,21938088,10969044,
2021-10-15,29068,8819,18153,,22803182,11584820,597873,21973894,10986947,
2021-10-16,31127,8982,19865,,22834309,11593511,586978,22013066,11006533,
2021-10-17,23689,7256,15363,,22857998,11600513,578858,22043310,11021655,
2021-10-18,12301,3747,8144,,22870299,11603979,574449,22059060,11029530,
2021-10-19,21246,6618,12618,,22891545,11610315,568436,22083758,11041879,
2021-10-20,25630,7534,14900,,22917175,11617602,561057,22113090,11056545,
2021-10-21,23153,6674,13020,,22940328,11624007,554700,22138614,11069307,
2021-10-22,26095,7305,15097,,22966423,11630990,546892,22168196,11084098,
2021-10-23,28158,7599,17146,,22994581,11638327,537338,22201978,11100989,
2021-10-24,19337,5729,12588,,23013918,11643800,530467,22226666,11113333,
2021-10-25,9922,2710,6473,,23023840,11646241,526696,22239090,11119545,
2021-10-26,18888,5386,11089,,23042728,11651349,520984,22260730,11130365,
2021-10-27,22829,6071,13197,,23065557,11657165,513844,22286642,11143321,
2021-10-28,22285,5791,12631,,23087842,11662668,506993,22311350,11155675,
2021-10-29,22793,5727,13038,,23110635,11668094,499668,22336852,11168426,
2021-10-30,24083,6032,14598,,23134718,11673854,491090,22365528,11182764,
2021-10-31,16463,4592,10588,,23151181,11678152,485089,22386126,11193063,
2021-11-01,7863,2078,5053,,23159044,11679950,482101,22395698,11197849,
2021-11-02,15611,4362,7735,,23174655,11684021,478717,22410608,11205304,
2021-11-03,18604,5065,9596,,23193259,11688783,474176,22429214,11214607,
2021-11-04,19482,4867,10018,,23212741,11693374,469010,22448728,11224364,
2021-11-05,21440,4396,9511,,23234181,11697481,463881,22467200,11233600,
2021-11-06,25314,5199,12148,,23259495,11702411,456915,22490992,11245496,
2021-11-07,21430,4019,8909,,23280925,11706150,452013,22508274,11254137,
2021-11-08,11987,2109,4729,,23292912,11707964,449377,22517174,11258587,
2021-11-09,24102,3846,7635,,23317014,11711489,445578,22531822,11265911,
2021-11-10,28453,4503,8981,,23345467,11715714,441086,22549256,11274628,
2021-11-11,28736,4298,9084,,23374203,11719716,436291,22566850,11283425,
2021-11-12,26720,4161,8218,,23400923,11723586,432220,22582732,11291366,
2021-11-13,34283,5072,11397,,23435206,11728352,425886,22604932,11302466,
2021-11-14,23209,3898,8597,,23458415,11731987,421180,22621614,11310807,
2021-11-15,12695,2185,4490,,23471110,11733912,418867,22630090,11315045,
2021-11-16,26155,3925,7469,,23497265,11737580,415319,22644522,11322261,
2021-11-17,31140,4046,7795,,23528405,11741344,411560,22659568,11329784,
2021-11-18,32470,3855,7507,,23560875,11744893,407894,22673998,11336999,
2021-11-19,35444,3857,7739,,23596319,11748450,404000,22688900,11344450,
