"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2023-01-03,8187,300,151,897,37795177,12689110,466343,,12222767,7676645
2023-01-04,14713,575,547,1545,37809890,12689461,466365,,12223096,7677993
2023-01-05,16105,653,533,1794,37825995,12689869,466482,,12223387,7679572
2023-01-06,18815,718,609,2044,37844810,12690364,466588,,12223776,7681417
2023-01-07,18516,708,638,2052,37863326,12690844,466655,,12224189,7683268
2023-01-08,11609,582,608,1630,37874935,12691221,466628,,12224593,7684714
2023-01-09,5298,216,196,664,37880233,12691207,466646,,12224561,7685180
2023-01-10,12155,419,315,781,37892388,12691384,466750,,12224634,7685745
2023-01-11,15536,459,370,1092,37907924,12691597,466837,,12224760,7686623
2023-01-12,14054,449,407,972,37921978,12691795,466878,,12224917,7687373
2023-01-13,14156,424,345,1036,37936134,12692021,466956,,12225065,7688226
2023-01-14,13368,479,452,1075,37949502,12692272,466980,,12225292,7689093
2023-01-15,9040,466,506,1049,37958542,12692536,466939,,12225597,7689970
2023-01-16,3744,148,130,479,37962286,12692461,466957,,12225504,7690245
2023-01-17,8848,270,179,651,37971134,12692459,467048,,12225411,7690664
2023-01-18,10237,352,273,756,37981371,12692581,467127,,12225454,7691208
2023-01-19,10578,318,318,760,37991949,12692666,467123,,12225543,7691767
2023-01-20,9823,319,272,716,38001772,12692761,467169,,12225592,7692278
2023-01-21,11301,358,398,904,38013073,12692899,467129,,12225770,7692993
2023-01-22,7565,346,404,816,38020638,12693036,467069,,12225967,7693616
2023-01-23,3379,144,131,288,38024017,12692998,467082,,12225916,7693744
2023-01-24,8277,228,165,549,38032294,12692979,467143,,12225836,7694075
2023-01-25,10309,349,296,660,38042603,12693109,467195,,12225914,7694544
2023-01-26,6720,236,203,469,38049323,12693119,467228,,12225891,7694820
2023-01-27,6900,241,197,491,38056223,12693119,467271,,12225848,7695104
2023-01-28,9333,312,337,693,38065556,12693205,467242,,12225963,7695599
2023-01-29,5958,235,341,689,38071514,12693214,467131,,12226083,7696085
2023-01-30,1899,89,79,216,38073413,12693089,467139,,12225950,7696108
2023-01-31,5869,156,150,413,38079282,12692995,467143,,12225852,7696296
2023-02-01,7288,251,248,488,38086570,12693047,467146,,12225901,7696610
2023-02-02,6462,295,239,499,38093032,12693150,467200,,12225950,7696949
2023-02-03,6539,197,191,462,38099571,12693146,467205,,12225941,7697231
2023-02-04,6711,232,305,540,38106282,12693194,467127,,12226067,7697614
2023-02-05,4173,198,291,483,38110455,12693176,467033,,12226143,7697915
2023-02-06,1834,91,98,211,38112289,12693052,467024,,12226028,7697928
2023-02-07,4960,162,181,383,38117249,12692985,467003,,12225982,7698113
2023-02-08,5766,214,206,429,38123015,12693004,467010,,12225994,7698367
2023-02-09,6113,214,243,438,38129128,12693020,466981,,12226039,7698635
2023-02-10,5076,158,207,369,38134204,12693029,466930,,12226099,7698873
2023-02-11,6049,185,258,458,38140253,12693006,466853,,12226153,7699142
2023-02-12,4076,217,343,408,38144329,12693027,466724,,12226303,7699371
2023-02-13,1480,56,87,146,38145809,12692904,466693,,12226211,7699367
2023-02-14,3936,132,179,308,38149745,12692819,466645,,12226174,7699480
2023-02-15,4537,119,191,285,38154282,12692751,466573,,12226178,7699600
2023-02-16,4912,174,285,400,38159194,12692724,466460,,12226264,7699819
2023-02-17,4978,180,210,342,38164172,12692723,466429,,12226294,7700003
2023-02-18,5111,230,295,487,38169283,12692766,466362,,12226404,7700324
2023-02-19,3349,133,243,373,38172632,12692717,466251,,12226466,7700544
2023-02-20,1419,64,54,157,38174051,12692611,466259,,12226352,7700555
2023-02-21,911,25,14,106,38174962,12692487,466268,,12226219,7700526
2023-02-22,4132,130,213,370,38179094,12692453,466180,,12226273,7700760
2023-02-23,4261,163,231,389,38183355,12692405,466106,,12226299,7700960
2023-02-24,3026,138,229,273,38186381,12692386,466013,,12226373,7701088
2023-02-25,5011,214,539,384,38191392,12692425,465688,,12226737,7701327
2023-02-26,3472,146,681,384,38194864,12692396,465152,,12227244,7701557
2023-02-27,1068,37,57,97,38195932,12692281,465129,,12227152,7701526
2023-02-28,2719,97,163,231,38198651,12692181,465061,,12227120,7701579
2023-03-01,3845,137,428,334,38202496,12692125,464769,,12227356,7701735
2023-03-02,4584,159,495,326,38207080,12692096,464430,,12227666,7701905
2023-03-03,4362,160,357,333,38211442,12692093,464231,,12227862,7702089
2023-03-04,4954,207,623,348,38216396,12692145,463813,,12228332,7702300
2023-03-05,2532,110,449,251,38218928,12692110,463473,,12228637,7702422
2023-03-06,1156,49,37,113,38220084,12692014,463483,,12228531,7702405
2023-03-07,3201,89,171,220,38223285,12691928,463399,,12228529,7702474
2023-03-08,4309,132,412,283,38227594,12691910,463118,,12228792,7702622
2023-03-09,4607,170,451,312,38232201,12691933,462833,,12229100,7702810
2023-03-10,3927,101,136,255,38236128,12691900,462796,,12229104,7702948
2023-03-11,4043,142,169,282,38240171,12691921,462768,,12229153,7703117
2023-03-12,2882,109,234,301,38243053,12691893,462640,,12229253,7703297
2023-03-13,857,32,32,103,38243910,12691813,462638,,12229175,7703300
2023-03-14,3053,101,109,255,38246963,12691783,462630,,12229153,7703442
2023-03-15,4073,143,162,306,38251036,12691821,462611,,12229210,7703649
2023-03-16,3997,173,234,274,38255033,12691848,462548,,12229300,7703804
2023-03-17,4268,171,202,306,38259301,12691894,462514,,12229380,7704000
2023-03-18,4346,144,194,295,38263647,12691919,462464,,12229455,7704190
2023-03-19,2714,129,233,255,38266361,12691970,462360,,12229610,7704375
2023-03-20,772,31,19,73,38267133,12691903,462372,,12229531,7704356
2023-03-21,2876,73,84,197,38270009,12691878,462357,,12229521,7704469
2023-03-22,3870,129,132,245,38273879,12691906,462354,,12229552,7704623
2023-03-23,3786,118,171,224,38277665,12691949,462299,,12229650,7704782
2023-03-24,3653,104,115,234,38281318,12691985,462288,,12229697,7704953
2023-03-25,4227,107,172,246,38285545,12692026,462221,,12229805,7705146
2023-03-26,2458,117,210,197,38288003,12692103,462128,,12229975,7705305
2023-03-27,902,50,32,65,38288905,12692132,462146,,12229986,7705352
2023-03-28,3009,88,77,197,38291914,12692211,462157,,12230054,7705540
2023-03-29,4080,133,136,214,38295994,12692344,462154,,12230190,7705754
2023-03-30,3654,118,162,197,38299648,12692462,462110,,12230352,7705951
