"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-09-14,"50-59yrs",1742752,1651907,0,0,2019276,.8631,.8181,.0000
2021-09-14,"60-69yrs",1739228,1679506,0,0,1813493,.9590,.9261,.0000
2021-09-14,"70-79yrs",1195823,1170568,0,0,1181151,.9999,.9910,.0000
2021-09-14,"80+",746352,731876,0,0,674976,.9999,.9999,.0000
2021-09-14,"Adults_18plus",10683675,9927271,0,0,12076175,.8847,.8221,.0000
2021-09-14,"Ontario_12plus",11269655,10421996,0,0,13038032,.8644,.7994,.0000
2021-09-14,"Undisclosed_or_missing",427,184,0,0,0,.0000,.0000,.0000
2021-09-15,"12-17yrs",587542,496711,0,0,961857,.6108,.5164,.0000
2021-09-15,"18-29yrs",1971771,1700014,0,0,2454802,.8032,.6925,.0000
2021-09-15,"30-39yrs",1711251,1535437,0,0,2077137,.8239,.7392,.0000
2021-09-15,"40-49yrs",1586218,1471034,0,0,1855340,.8549,.7929,.0000
2021-09-15,"50-59yrs",1744179,1654106,0,0,2019276,.8638,.8192,.0000
2021-09-15,"60-69yrs",1740046,1680911,0,0,1813493,.9595,.9269,.0000
2021-09-15,"70-79yrs",1196052,1170998,0,0,1181151,.9999,.9914,.0000
2021-09-15,"80+",746349,731950,0,0,674976,.9999,.9999,.0000
2021-09-15,"Adults_18plus",10695866,9944450,0,0,12076175,.8857,.8235,.0000
2021-09-15,"Ontario_12plus",11283408,10441161,0,0,13038032,.8654,.8008,.0000
2021-09-15,"Undisclosed_or_missing",428,185,0,0,0,.0000,.0000,.0000
2021-09-16,"12-17yrs",589020,499193,0,0,961857,.6124,.5190,.0000
2021-09-16,"18-29yrs",1975891,1705559,0,0,2454802,.8049,.6948,.0000
2021-09-16,"30-39yrs",1714619,1539475,0,0,2077137,.8255,.7412,.0000
2021-09-16,"40-49yrs",1588353,1473901,0,0,1855340,.8561,.7944,.0000
2021-09-16,"50-59yrs",1745660,1656269,0,0,2019276,.8645,.8202,.0000
2021-09-16,"60-69yrs",1740894,1682220,0,0,1813493,.9600,.9276,.0000
2021-09-16,"70-79yrs",1196324,1171492,0,0,1181151,.9999,.9918,.0000
2021-09-16,"80+",746383,732076,0,0,674976,.9999,.9999,.0000
2021-09-16,"Adults_18plus",10708124,9960992,0,0,12076175,.8867,.8248,.0000
2021-09-16,"Ontario_12plus",11297144,10460185,0,0,13038032,.8665,.8023,.0000
2021-09-16,"Undisclosed_or_missing",431,185,0,0,0,.0000,.0000,.0000
2021-09-17,"12-17yrs",590432,501727,0,0,961857,.6138,.5216,.0000
2021-09-17,"18-29yrs",1979813,1711130,0,0,2454802,.8065,.6971,.0000
2021-09-17,"30-39yrs",1717838,1543502,0,0,2077137,.8270,.7431,.0000
2021-09-17,"40-49yrs",1590530,1476736,0,0,1855340,.8573,.7959,.0000
2021-09-17,"50-59yrs",1747187,1658521,0,0,2019276,.8653,.8213,.0000
2021-09-17,"60-69yrs",1741743,1683505,0,0,1813493,.9604,.9283,.0000
2021-09-17,"70-79yrs",1196555,1171949,0,0,1181151,.9999,.9922,.0000
2021-09-17,"80+",746399,732205,0,0,674976,.9999,.9999,.0000
2021-09-17,"Adults_18plus",10720065,9977548,0,0,12076175,.8877,.8262,.0000
2021-09-17,"Ontario_12plus",11310497,10479275,0,0,13038032,.8675,.8037,.0000
2021-09-17,"Undisclosed_or_missing",433,185,0,0,0,.0000,.0000,.0000
2021-09-18,"12-17yrs",592018,505560,0,0,961857,.6155,.5256,.0000
2021-09-18,"18-29yrs",1983777,1717939,0,0,2454802,.8081,.6998,.0000
2021-09-18,"30-39yrs",1721277,1548347,0,0,2077137,.8287,.7454,.0000
2021-09-18,"40-49yrs",1592736,1479978,0,0,1855340,.8585,.7977,.0000
2021-09-18,"50-59yrs",1748747,1660975,0,0,2019276,.8660,.8226,.0000
2021-09-18,"60-69yrs",1742584,1684993,0,0,1813493,.9609,.9291,.0000
2021-09-18,"70-79yrs",1196764,1172418,0,0,1181151,.9999,.9926,.0000
2021-09-18,"80+",746388,732314,0,0,674976,.9999,.9999,.0000
2021-09-18,"Adults_18plus",10732273,9996964,0,0,12076175,.8887,.8278,.0000
2021-09-18,"Ontario_12plus",11324291,10502524,0,0,13038032,.8686,.8055,.0000
2021-09-18,"Undisclosed_or_missing",440,186,0,0,0,.0000,.0000,.0000
2021-09-19,"12-17yrs",593403,508872,0,0,961857,.6169,.5291,.0000
2021-09-19,"18-29yrs",1986945,1723644,0,0,2454802,.8094,.7022,.0000
2021-09-19,"30-39yrs",1723826,1552188,0,0,2077137,.8299,.7473,.0000
2021-09-19,"40-49yrs",1594376,1482507,0,0,1855340,.8593,.7990,.0000
2021-09-19,"50-59yrs",1749864,1662894,0,0,2019276,.8666,.8235,.0000
2021-09-19,"60-69yrs",1743156,1686068,0,0,1813493,.9612,.9297,.0000
2021-09-19,"70-79yrs",1196934,1172751,0,0,1181151,.9999,.9929,.0000
2021-09-19,"80+",746347,732324,0,0,674976,.9999,.9999,.0000
2021-09-19,"Adults_18plus",10741448,10012376,0,0,12076175,.8895,.8291,.0000
2021-09-19,"Ontario_12plus",11334851,10521248,0,0,13038032,.8694,.8070,.0000
2021-09-19,"Undisclosed_or_missing",443,186,0,0,0,.0000,.0000,.0000
2021-09-20,"12-17yrs",594119,510413,0,0,961857,.6177,.5307,.0000
2021-09-20,"18-29yrs",1988936,1726964,0,0,2454802,.8102,.7035,.0000
2021-09-20,"30-39yrs",1725235,1554318,0,0,2077137,.8306,.7483,.0000
2021-09-20,"40-49yrs",1595277,1483876,0,0,1855340,.8598,.7998,.0000
2021-09-20,"50-59yrs",1750510,1663945,0,0,2019276,.8669,.8240,.0000
2021-09-20,"60-69yrs",1743399,1686543,0,0,1813493,.9613,.9300,.0000
2021-09-20,"70-79yrs",1196975,1172860,0,0,1181151,.9999,.9930,.0000
2021-09-20,"80+",746244,732268,0,0,674976,.9999,.9999,.0000
2021-09-20,"Adults_18plus",10746576,10020774,0,0,12076175,.8899,.8298,.0000
2021-09-20,"Ontario_12plus",11340695,10531187,0,0,13038032,.8698,.8077,.0000
2021-09-20,"Undisclosed_or_missing",445,187,0,0,0,.0000,.0000,.0000
2021-09-21,"12-17yrs",595131,512007,0,0,961857,.6187,.5323,.0000
2021-09-21,"18-29yrs",1992495,1732674,0,0,2454802,.8117,.7058,.0000
2021-09-21,"30-39yrs",1727951,1558046,0,0,2077137,.8319,.7501,.0000
2021-09-21,"40-49yrs",1596977,1486331,0,0,1855340,.8607,.8011,.0000
2021-09-21,"50-59yrs",1751678,1665792,0,0,2019276,.8675,.8249,.0000
2021-09-21,"60-69yrs",1744048,1687571,0,0,1813493,.9617,.9306,.0000
2021-09-21,"70-79yrs",1197157,1173207,0,0,1181151,.9999,.9933,.0000
2021-09-21,"80+",746195,732288,0,0,674976,.9999,.9999,.0000
2021-09-21,"Adults_18plus",10756501,10035909,0,0,12076175,.8907,.8311,.0000
2021-09-21,"Ontario_12plus",11351632,10547916,0,0,13038032,.8707,.8090,.0000
2021-09-21,"Undisclosed_or_missing",448,187,0,0,0,.0000,.0000,.0000
2021-09-22,"12-17yrs",596523,514637,0,0,961857,.6202,.5350,.0000
2021-09-22,"18-29yrs",1996976,1740280,0,0,2454802,.8135,.7089,.0000
2021-09-22,"30-39yrs",1731711,1563126,0,0,2077137,.8337,.7525,.0000
2021-09-22,"40-49yrs",1599339,1489711,0,0,1855340,.8620,.8029,.0000
2021-09-22,"50-59yrs",1753211,1668005,0,0,2019276,.8682,.8260,.0000
2021-09-22,"60-69yrs",1744854,1688841,0,0,1813493,.9622,.9313,.0000
2021-09-22,"70-79yrs",1197396,1173625,0,0,1181151,.9999,.9936,.0000
2021-09-22,"80+",746136,732327,0,0,674976,.9999,.9999,.0000
2021-09-22,"Adults_18plus",10769623,10055915,0,0,12076175,.8918,.8327,.0000
2021-09-22,"Ontario_12plus",11366146,10570552,0,0,13038032,.8718,.8107,.0000
2021-09-22,"Undisclosed_or_missing",450,190,0,0,0,.0000,.0000,.0000
2021-09-23,"12-17yrs",598007,517154,0,0,961857,.6217,.5377,.0000
2021-09-23,"18-29yrs",2002083,1749091,0,0,2454802,.8156,.7125,.0000
2021-09-23,"30-39yrs",1735716,1569068,0,0,2077137,.8356,.7554,.0000
2021-09-23,"40-49yrs",1601845,1493424,0,0,1855340,.8634,.8049,.0000
2021-09-23,"50-59yrs",1754876,1670733,0,0,2019276,.8691,.8274,.0000
2021-09-23,"60-69yrs",1745702,1690312,0,0,1813493,.9626,.9321,.0000
2021-09-23,"70-79yrs",1197652,1174120,0,0,1181151,.9999,.9940,.0000
2021-09-23,"80+",746130,732421,0,0,674976,.9999,.9999,.0000
2021-09-23,"Adults_18plus",10784004,10079169,0,0,12076175,.8930,.8346,.0000
2021-09-23,"Ontario_12plus",11382011,10596323,0,0,13038032,.8730,.8127,.0000
2021-09-23,"Undisclosed_or_missing",451,191,0,0,0,.0000,.0000,.0000
2021-09-24,"12-17yrs",599486,519999,0,0,961857,.6233,.5406,.0000
2021-09-24,"18-29yrs",2007164,1758313,0,0,2454802,.8176,.7163,.0000
2021-09-24,"30-39yrs",1739436,1574900,0,0,2077137,.8374,.7582,.0000
2021-09-24,"40-49yrs",1604216,1497202,0,0,1855340,.8646,.8070,.0000
2021-09-24,"50-59yrs",1756476,1673394,0,0,2019276,.8699,.8287,.0000
2021-09-24,"60-69yrs",1746531,1691764,0,0,1813493,.9631,.9329,.0000
2021-09-24,"70-79yrs",1197922,1174608,0,0,1181151,.9999,.9945,.0000
2021-09-24,"80+",746141,732533,0,0,674976,.9999,.9999,.0000
2021-09-24,"Adults_18plus",10797886,10102714,0,0,12076175,.8941,.8366,.0000
2021-09-24,"Ontario_12plus",11397372,10622713,0,0,13038032,.8742,.8147,.0000
